CONTROL_NUMBER_N,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
13468,29,75,0,C,2,28,H,M,7,1,B,16,,764,269,89,13439,0,44,27,66,0,0,A,1,0.154,15,0.333,15,2,2,22,9,22,30,2,15,10,20,10,20,4,10,22,29,15,2
13469,29,65,0,S,1,13,U,F,2,1,M,17,,5795,483,83,36215,0,22,34,34,0,0,A,2,0.214,12.67,0.286,13,3,2,22,11,24,38,3,12.67,6,16,10,16,6,12,22,31,12.67,2
13470,137,,0,R,2,49,H,M,2,0,P,0,,581,325,90,10920,2,26,40,20,1,0,E,1,0.133,17,0,0,2,0,15,25,60,111,13,8.54,17,20,3,20,3,10,15,119,8.54,8
13471,89,,0,T,1,35,H,M,6,0,M,1,8,1542,614,89,20943,0,32,46,19,1,1,S,4,0.211,5,0.222,5,4,2,17,24,63,79,15,5.27,8,10,2,5,6,13,17,86,5.27,9
13472,29,,0,S,3,21,U,F,,0,N,0,,472,301,65,9518,0,43,28,31,1,0,A,4,0.429,9.17,0.429,10,6,3,20,11,26,61,7,8.71,8,13,5,10,6,12,20,31,8.71,3
13473,137,,0,C,2,25,H,U,4,1,B,2,,448,139,46,10164,5,9,27,38,1,1,S,2,0.158,8.67,0.125,10,3,1,20,29,72,72,14,5.14,8,10,2,3,6,18,9,112,5.14,9
13474,65,47,0,S,2,16,H,F,5,1,B,0,7,640,361,83,15887,0,44,33,42,1,1,S,2,0.263,10.8,0.4,11,5,4,21,18,41,81,9,9,10,15,5,15,6,12,21,57,9,7
13475,53,50,0,T,1,35,H,M,7,1,B,0,9,1660,522,95,19555,0,26,37,28,0,0,A,1,0,0,0,0,0,0,,17,42,125,3,41.67,25,50,25,50,5,12,17,52,41.67,1
13476,137,,0,R,2,48,U,M,1,1,B,3,3,360,251,77,9747,0,29,19,27,1,0,A,1,0.111,10,0.167,10,1,1,16,26,63,207,18,11.5,17,20,3,10,4,8,16,128,11.5,13
13477,77,74,0,C,1,23,H,M,7,0,P,0,9,2535,466,89,29484,0,50,16,57,0,0,A,3,0.118,11,0.143,12,2,1,18,18,52,71,6,11.83,21,25,4,10,6,17,18,76,11.83,2
13478,113,80,1,U,2,6,U,U,,0,N,0,6,2613,458,66,17726,3,28,29,29,1,18,A,1,0.053,10,0,0,1,0,15,33,96,308,24,12.83,15,20,5,10,8,25,6,110,12.83,10
13479,77,84,0,C,3,30,U,M,1,0,P,0,3,805,295,74,9869,0,10,27,20,1,1,S,3,0.316,21.67,0.273,20.33,6,3,18,22,56,218,12,18.17,19,29,10,21,6,14,18,67,18.17,6
13480,77,65,1,T,3,41,U,F,3,1,M,30,2,600,169,38,8511,0,24,20,27,0,0,A,1,0.1,19,0.111,25,2,1,27,19,60,111,7,15.86,22,25,3,25,7,28,15,77,15.86,2
13481,137,79,0,C,1,23,H,F,6,1,B,1,8,1050,413,64,33169,0,39,26,50,1,0,A,1,0.059,15,0,0,1,0,18,29,68,107,12,8.92,12,15,3,15,4,13,18,126,8.92,10
13482,17,65,0,T,2,40,H,M,5,1,B,9,,593,367,88,14435,4,32,22,51,0,0,F,1,0,0,0,0,0,0,,4,12,25,1,25,0,25,25,25,4,10,19,19,25,0
13483,77,51,0,T,2,36,U,M,7,1,P,0,0,385,225,68,11000,0,32,22,40,1,13,A,1,0.091,25,0.182,25,2,2,16,22,57,110,7,15.71,20,25,5,25,6,15,16,67,15.71,6
13484,137,78,1,C,2,25,U,M,2,0,M,0,4,1016,323,68,12283,0,20,34,13,1,7,A,1,0.286,10,0.5,10,2,2,17,24,78,186,28,6.64,12,15,3,10,4,26,13,130,6.64,17
13485,89,63,0,T,3,41,H,F,2,1,B,2,2,325,132,54,7853,0,33,16,46,1,0,A,1,0.05,13,0,0,1,0,30,23,57,94,9,10.44,20,25,5,25,6,13,18,81,10.44,5
13486,113,56,0,R,2,45,H,U,5,0,B,8,9,402,194,66,10667,0,34,12,39,1,0,A,1,0.091,50,0,0,2,0,21,28,72,313,11,28.45,70,75,5,25,6,14,21,104,28.45,5
13487,29,76,0,C,3,33,H,M,1,1,B,0,,620,213,79,11668,0,41,16,49,0,0,A,3,0.286,8,0.429,8.33,4,3,17,11,25,32,4,8,7,12,5,12,6,12,17,33,8,3
13488,65,78,0,S,1,12,H,F,6,1,B,9,8,1263,468,80,26265,0,32,31,39,0,0,A,1,0.111,15,0.125,16,2,1,21,17,47,66,5,13.2,6,16,10,16,6,12,21,63,13.2,3
13489,113,81,0,S,1,13,U,M,5,1,P,0,8,1114,377,64,21787,1,32,27,43,1,8,A,1,0.143,24,0.091,25,3,1,19,26,64,137,9,15.22,24,27,3,27,6,13,19,105,15.22,6
13490,137,59,0,T,2,40,U,M,5,0,P,0,7,762,439,87,16107,1,36,35,30,1,0,A,2,0.15,15,0,0,3,0,15,30,70,107,11,9.73,10,15,5,15,5,12,15,126,9.73,6
13491,41,,0,U,1,3,U,M,,0,N,0,3,1531,260,32,18324,0,16,40,29,1,1,S,1,0.238,12,0.1,10,5,1,24,16,40,72,7,10.29,10,15,5,15,6,12,24,44,10.29,3
13492,17,59,0,R,2,45,H,M,3,1,B,0,,513,203,57,10100,0,24,30,37,0,0,F,1,0.25,15,0,0,1,0,17,4,12,15,1,15,0,15,15,15,4,10,17,17,15,0
13493,29,,0,C,1,24,U,M,,1,N,0,,1991,517,80,18273,0,29,35,21,0,0,A,4,0.308,10,0.429,10,4,3,18,11,27,55,6,9.17,5,10,5,10,6,15,18,28,9.17,3
13494,101,,0,R,3,51,U,F,1,0,P,0,2,351,213,87,9119,0,24,31,38,0,0,A,1,0.1,12.5,0.111,15,2,1,16,23,58,75,7,10.71,10,15,5,15,6,14,16,90,10.71,3
13495,29,65,0,C,1,22,U,M,6,0,P,0,,1463,546,99,19338,0,16,55,26,1,0,A,2,0.231,15,0.286,15,3,2,21,11,24,45,3,15,0,15,15,15,6,12,21,28,15,2
13496,77,63,0,?,?,,H,F,5,0,B,30,7,801,309,19,16654,0,0,0,0,1,1,S,2,0.143,16,0.2,14,3,2,23,22,53,93,9,10.33,17,20,3,16,6,13,23,75,10.33,6
13497,101,85,0,U,1,3,H,F,5,0,P,0,6,3679,390,37,31606,0,29,9,57,1,7,A,1,0.15,24,0.273,24,3,3,24,27,68,242,23,10.52,24,27,3,25,6,12,24,97,10.52,12
13498,137,65,0,C,2,27,H,M,5,1,B,1,7,529,413,85,13711,0,37,46,12,1,1,S,4,0.278,6.8,0.1,6,5,1,18,32,67,107,23,4.65,10,13,3,5,6,11,18,126,4.65,11
13499,65,,0,S,1,11,U,F,,0,N,0,9,1280,533,73,24346,2,41,30,33,0,0,A,1,0.095,18.5,0.2,18.5,2,2,16,20,46,73,6,12.17,15,20,5,17,5,12,16,56,12.17,3
13500,29,,0,C,2,27,U,U,,1,N,0,,427,323,80,13865,0,30,38,26,1,1,S,3,0.333,7.4,0.667,7.5,5,4,15,10,26,37,5,7.4,5,10,5,8,5,12,15,32,7.4,4
13501,89,62,0,S,2,18,H,F,4,1,B,0,8,775,354,88,14170,0,33,42,22,1,0,A,1,0.158,27.67,0.111,31,3,1,22,22,56,138,6,23,21,31,10,31,6,13,22,79,23,4
13502,113,59,1,S,1,14,U,M,,0,N,0,9,4511,840,91,28752,0,21,48,19,1,0,A,1,0.091,15,0,0,1,0,16,24,75,145,12,12.08,12,15,3,15,7,28,6,104,12.08,6
13503,137,59,0,C,2,29,U,M,4,1,M,0,4,793,420,90,18785,2,32,34,34,1,0,A,1,0.158,10,0.1,10,3,1,18,31,71,130,16,8.13,11,14,3,10,5,13,18,121,8.13,8
13504,77,75,0,C,3,32,H,F,5,0,B,2,2,432,184,65,7207,0,17,39,33,1,1,S,2,0.143,12,0,0,2,0,18,17,44,87,12,7.25,11,13,2,13,4,8,18,75,7.25,5
13505,29,53,0,C,3,31,H,M,2,1,B,18,,417,123,38,7937,0,28,30,17,0,0,A,2,0.214,30,0.429,30,3,3,16,11,25,90,3,30,20,40,20,40,6,14,16,29,30,3
13506,17,,0,R,2,48,H,F,3,0,B,2,,276,191,66,10894,4,30,0,88,0,0,F,1,0.2,25,0.5,25,1,1,16,6,14,25,1,25,0,25,25,25,5,12,16,16,25,1
13507,137,44,0,C,1,24,H,M,6,1,B,6,9,4521,799,96,33463,0,36,35,22,1,10,A,1,0.143,11.67,0.2,12.5,3,2,17,31,81,265,21,12.62,15,20,5,10,5,12,17,130,12.62,17
13508,29,55,0,R,3,51,H,F,5,0,P,0,,270,178,83,9013,0,15,49,40,0,0,A,1,0.133,15,0.167,10,2,1,19,9,23,30,2,15,10,20,10,20,4,10,19,33,15,1
13509,53,76,0,R,2,49,H,M,2,0,P,0,2,412,297,80,12061,0,33,32,19,1,0,A,4,0.381,10.38,0.3,11.67,8,3,15,27,69,135,17,7.94,16,19,3,19,9,23,15,52,7.94,5
13510,65,46,0,S,1,15,H,F,4,1,B,3,9,867,470,50,31308,0,31,22,38,1,0,A,2,0.1,20,0.111,20,2,1,20,18,48,89,7,12.71,15,20,5,20,6,13,20,57,12.71,4
13511,125,,0,S,3,21,H,U,1,1,P,0,,289,140,35,6204,1,36,30,32,0,0,A,3,0.182,7,0.2,7,2,1,23,9,24,49,8,6.13,8,10,2,7,4,6,23,102,6.13,3
13512,77,61,0,C,1,23,H,M,7,0,P,0,9,1263,468,80,26265,0,54,9,55,1,1,S,3,0.211,10,0.273,10,4,3,19,23,55,123,16,7.69,5,10,5,10,6,13,19,67,7.69,10
13513,29,61,0,C,3,30,H,F,2,0,B,1,,517,217,74,9441,2,50,32,29,1,0,A,3,0.25,8.67,0.5,8.67,3,3,21,10,23,32,4,8,6,11,5,10,6,12,21,29,8,3
13514,29,,0,S,1,12,U,F,,0,N,0,,1379,542,94,34616,1,37,30,39,0,0,N,3,0.273,10.67,0.4,10,3,2,17,9,21,32,3,10.67,2,12,10,10,6,12,17,23,10.67,2
13515,137,,0,S,1,12,U,M,,0,N,0,1,822,475,85,16687,0,27,35,15,1,0,A,1,0.053,30,0.111,30,1,1,16,32,73,141,10,14.1,25,30,5,30,6,14,16,113,14.1,7
13516,17,75,0,T,2,40,H,M,2,1,B,2,,567,404,68,13936,2,32,44,37,0,0,F,1,0.2,15,0.5,15,1,1,17,5,14,15,1,15,0,15,15,15,4,10,17,17,15,1
13517,101,73,0,C,2,28,H,F,2,0,B,2,4,840,310,81,16277,0,38,11,49,0,0,A,4,0.409,6.11,0.455,6.2,9,5,17,23,55,97,17,5.71,3,8,5,5,6,11,17,105,5.71,8
13518,65,73,1,U,2,7,H,F,5,1,B,4,7,769,298,44,14868,0,31,29,44,0,0,A,3,0.313,10,0.444,10,5,4,17,19,68,95,12,7.92,7,10,3,10,6,19,17,65,7.92,7
13519,77,68,0,U,3,8,U,M,,0,N,0,0,1210,175,34,8588,0,37,0,41,1,11,A,1,0.111,11,0.143,10,2,1,18,19,51,109,12,9.08,11,14,3,12,5,12,18,66,9.08,5
13520,113,,0,R,2,49,U,M,3,1,M,0,7,764,349,87,13897,0,31,45,25,1,0,A,1,0.111,21,0.125,19,2,1,18,27,62,99,7,14.14,18,23,5,23,5,12,18,112,14.14,5
13521,101,57,0,C,2,28,H,F,1,1,B,2,4,432,272,85,13770,0,23,48,36,0,0,A,1,0.059,20,0,0,1,0,25,22,53,72,7,10.29,15,20,5,20,6,11,25,90,10.29,3
13522,41,43,0,U,3,9,H,M,3,0,P,0,,2667,257,12,7985,0,13,0,13,1,1,S,4,0.389,5.43,0.4,5.5,7,4,20,15,33,57,11,5.18,3,6,3,5,6,12,18,41,5.18,5
13523,41,,0,C,2,28,U,F,,0,N,0,,811,193,46,9101,0,41,15,59,0,0,A,2,0.1,12.5,0.111,15,2,1,24,14,32,39,4,9.75,10,15,5,15,6,11,24,39,9.75,2
13524,137,,0,T,2,36,U,F,,0,N,0,3,267,105,57,5728,0,28,54,28,1,1,S,2,0.15,14.67,0,0,3,0,19,32,80,263,30,8.77,18,20,2,16,6,12,19,130,8.77,15
13525,41,,0,T,2,39,U,F,7,0,P,0,,588,220,86,10541,0,10,0,19,0,0,A,2,0.158,13,0,0,3,0,15,13,34,49,4,12.25,5,15,10,12,5,13,15,40,12.25,0
13526,53,81,0,T,2,36,H,M,2,1,B,5,5,499,287,82,13815,1,40,28,48,0,0,A,2,0.143,9.33,0.3,9.33,3,3,22,17,42,83,7,11.86,20,25,5,13,6,13,22,52,11.86,4
13527,41,,0,S,2,17,U,M,,0,N,0,,628,382,73,15468,4,26,35,19,1,1,S,4,0.316,11.83,0.4,11.25,6,4,23,15,36,130,11,11.82,12,20,8,20,6,13,18,40,11.82,5
13528,77,55,0,S,1,13,H,M,7,0,B,6,9,1515,648,90,25787,0,33,13,42,0,0,A,1,0.048,15,0,0,1,0,26,19,51,77,7,11,5,15,10,15,5,10,26,68,11,3
13529,29,71,0,T,2,38,H,M,5,1,B,15,,611,265,62,12313,1,24,42,33,0,0,A,1,0.077,20,0.2,20,1,1,23,8,22,30,2,15,10,20,10,20,4,10,23,29,15,1
13530,137,,1,?,?,,U,F,4,1,B,0,1,495,169,73,7403,0,20,29,29,1,1,S,3,0.5,7.75,0.444,9.25,8,4,15,30,74,279,36,7.75,9,12,3,5,3,5,15,126,7.75,20
13531,89,84,0,C,2,25,U,U,5,0,P,0,5,722,262,56,16700,0,40,0,99,1,1,S,3,0.294,16.4,0.444,16.75,5,4,21,22,55,137,12,11.42,15,20,5,20,6,12,21,81,11.42,8
13532,137,57,0,C,1,24,H,F,5,1,B,11,,1187,428,90,25555,0,46,15,55,1,0,A,2,0.176,10,0.125,10,3,1,21,29,66,90,13,6.92,5,10,5,10,6,13,21,124,6.92,9
13533,137,42,0,R,2,44,U,M,,0,N,0,8,568,272,51,14797,0,32,47,10,0,0,A,1,0.118,15,0.125,10,2,1,26,24,57,75,7,10.71,15,20,5,20,5,12,26,130,10.71,3
13534,41,64,0,S,2,16,H,F,3,1,B,1,,636,391,95,19757,3,24,20,31,0,0,A,1,0.095,20,0.2,20,2,2,22,15,36,65,4,16.25,15,20,5,20,6,12,22,40,16.25,3
13535,113,60,0,R,1,42,H,F,6,0,P,0,5,675,314,41,15648,0,29,33,10,0,0,A,2,0.111,16,0.25,16,2,2,16,27,62,105,10,10.5,12,17,5,17,5,12,16,110,10.5,6
13536,137,51,0,R,2,44,H,F,5,0,P,0,,586,354,82,13096,0,28,31,28,1,0,A,1,0.071,12,0.167,12,1,1,21,28,67,109,13,8.38,18,20,2,12,4,11,21,122,8.38,8
13537,101,62,0,C,2,25,U,F,2,1,B,7,,814,157,19,9837,1,15,24,17,1,14,A,2,0.111,10,0.125,10,2,1,15,21,52,81,12,6.75,9,12,3,10,5,13,15,92,6.75,7
13538,65,33,0,R,2,44,U,M,2,0,P,0,6,817,449,78,19709,0,40,30,23,1,0,A,1,0.136,20.33,0.091,20,3,1,24,21,49,141,11,12.82,18,21,3,20,6,11,24,56,12.82,6
13539,41,67,0,S,1,11,H,M,6,0,B,1,,1550,498,60,26668,0,49,31,47,1,0,A,3,0.263,8.6,0.222,9,5,2,17,14,35,48,6,8,6,11,5,10,6,13,17,41,8,3
13540,77,85,0,S,2,17,H,F,1,1,B,15,5,921,310,32,18433,0,29,25,36,1,1,S,2,0.091,6.5,0.091,5,2,1,26,24,60,91,13,7,5,10,5,10,6,15,18,77,7,6
13541,77,27,0,S,2,18,U,F,2,0,P,0,4,642,271,87,9453,23,45,48,6,0,0,A,1,0.188,10,0.286,12.5,3,2,17,17,47,43,7,6.14,18,20,2,20,6,13,17,68,6.14,3
