CONTROL_NUMBER_N,TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
25,0,137,67,0,S,1,12,U,F,3,1,M,1,2,504,191,76,9564,3,26,41,10,0,0,A,2,0.143,14,0.167,14,2,1,24,13,43,103,12,8.58,9,14,5,14,3,6,24,130,8.58,4
26,0,77,53,0,C,2,27,U,F,5,1,P,0,7,645,267,67,12616,14,41,46,19,1,1,S,2,0.136,9,0,0,3,0,19,22,62,108,16,6.75,12,15,3,15,6,13,18,77,6.75,4
27,0,113,78,0,S,2,17,H,M,5,0,B,0,7,1359,302,50,15860,0,18,23,45,1,4,A,1,0.143,18,0.273,18,3,3,24,27,63,175,12,14.58,10,20,10,18,6,11,24,111,14.58,8
28,0,53,28,0,S,2,16,H,F,2,0,P,0,7,696,342,65,12273,0,38,22,59,0,0,A,1,0.059,20,0,0,1,0,18,15,35,50,4,12.5,10,20,10,20,6,12,18,51,12.5,2
29,0,113,,0,U,2,4,H,F,2,1,B,3,2,623,199,31,14773,0,39,25,22,1,1,S,2,0.222,12.75,0.444,12.75,4,4,17,27,63,106,15,7.07,14,16,2,15,6,13,17,104,7.07,12
30,0,17,29,0,R,2,43,H,F,5,0,P,0,,608,261,86,9166,0,44,39,25,0,0,F,1,0.143,20,0.333,20,1,1,19,6,16,20,1,20,0,20,20,20,4,10,19,19,20,1
31,1,53,45,0,S,1,15,H,M,6,1,B,3,,1458,299,16,19185,2,21,55,0,0,0,A,2,0.211,8,0.4,8,4,4,16,19,45,68,11,6.18,7,10,3,8,5,12,16,53,6.18,6
32,1,65,,0,U,3,8,H,U,5,0,P,0,,1624,380,74,9685,0,16,29,32,1,0,A,4,0.421,3.88,0.4,3,8,4,19,20,49,65,13,5,6,8,2,6,6,12,19,65,5,6
33,0,137,,0,U,2,5,U,U,,0,N,0,5,1452,467,52,21306,0,30,25,42,1,1,S,4,0.375,10.83,0.6,10.83,6,6,17,32,83,301,34,8.85,9,12,3,12,6,14,17,130,8.85,23
34,0,65,,0,U,1,1,U,U,,0,N,0,,2750,599,42,60625,0,32,18,51,0,0,A,4,0.235,10.5,0.25,10,4,2,17,21,62,77,8,9.63,6,11,5,10,6,18,15,57,9.63,3
35,0,113,79,0,R,2,45,H,M,5,0,P,0,6,5309,1275,95,88894,1,28,21,35,1,0,A,1,0.125,11,0.167,12,2,1,18,24,67,178,12,14.83,18,23,5,12,4,11,18,113,14.83,9
36,0,17,37,0,S,1,13,U,M,6,0,P,0,,1548,607,87,28028,0,28,34,29,0,0,N,2,0.286,13,0.333,10,2,1,15,7,16,26,2,13,6,16,10,16,5,11,15,21,13,1
37,0,53,61,0,C,3,30,H,F,4,0,B,0,1,942,229,53,12167,0,39,19,32,0,0,A,1,0.111,15,0.333,15,1,1,18,10,28,25,2,12.5,5,15,10,15,4,10,18,53,12.5,2
38,0,89,67,1,T,2,40,H,F,7,0,B,37,8,1052,566,93,22258,0,31,23,45,0,0,A,2,0.188,25,0.25,25,3,2,21,23,76,265,9,29.44,25,50,25,50,7,24,5,79,29.44,4
39,0,137,48,0,T,3,41,H,F,3,0,P,0,2,485,230,85,7665,0,19,39,33,1,0,A,1,0.067,13,0,0,1,0,25,26,63,96,15,6.4,10,13,3,13,4,10,25,122,6.4,5
40,0,137,71,1,S,2,16,H,F,4,0,M,0,6,857,363,95,15977,2,33,25,66,1,7,A,1,0.136,25,0.091,22,3,1,26,37,101,432,29,14.9,23,28,5,28,7,22,26,130,14.9,9
41,0,137,55,0,S,1,13,H,F,7,1,B,4,,3247,634,88,28053,0,33,45,48,1,1,S,3,0.294,8.6,0.5,9,5,4,16,27,58,103,13,7.92,3,10,7,9,6,14,16,98,7.92,8
42,1,29,35,0,C,2,29,H,F,4,0,B,3,,978,200,73,13560,0,41,13,66,0,0,N,1,0.1,20,0.25,20,1,1,23,6,17,20,1,20,0,20,20,20,3,9,23,23,20,1
43,0,41,,0,R,2,45,H,F,4,0,P,0,2,404,167,78,9765,0,40,24,47,0,0,A,1,0.1,15,0,0,2,0,26,14,35,50,4,12.5,15,20,5,20,5,10,26,44,12.5,1
44,0,77,47,0,R,2,43,U,M,1,1,B,15,2,506,228,81,11152,0,22,28,19,0,0,A,1,0,0,0,0,0,0,,19,73,85,6,14.17,15,20,5,20,5,26,26,69,14.17,2
45,0,41,59,0,C,2,25,H,M,4,1,P,0,,670,248,52,10110,0,14,27,32,0,0,A,1,0,0,0,0,0,0,,12,32,37,3,12.33,5,15,10,15,4,9,26,41,12.33,1
46,1,137,78,0,T,1,35,H,M,7,1,B,1,8,1053,607,83,23739,3,48,35,32,1,1,S,2,0.136,44,0.273,44,3,3,17,33,77,371,13,28.54,57,60,3,47,6,13,17,130,28.54,10
47,0,29,27,0,C,3,31,H,M,3,1,B,1,,632,186,33,9397,13,47,46,9,0,0,A,3,0.235,7.25,0.125,7,4,1,19,12,29,44,6,7.33,5,10,5,10,6,13,18,32,7.33,1
48,0,101,60,0,S,3,21,H,M,3,0,P,0,5,592,316,88,14193,0,21,16,38,1,0,A,1,0.091,38,0,0,2,0,26,22,55,181,8,22.63,47,50,3,26,5,11,26,97,22.63,3
49,0,77,80,0,U,2,5,H,F,3,0,M,4,5,1811,350,70,18591,0,34,21,37,1,0,A,1,0.05,18,0,0,1,0,18,22,57,110,8,13.75,8,18,10,18,6,13,18,76,13.75,4
50,0,41,57,0,C,3,32,H,F,1,1,B,4,,386,259,60,9469,0,21,18,42,0,0,A,1,0.095,17.5,0.1,15,2,1,29,15,35,70,4,17.5,15,25,10,25,6,13,18,42,17.5,2
51,0,113,44,0,T,1,35,H,F,6,0,B,3,9,1188,231,1,8695,0,29,50,13,1,0,A,1,0.118,15,0.125,12,2,1,19,26,60,92,13,7.08,15,18,3,18,6,13,19,110,7.08,4
52,0,137,,1,R,2,45,U,F,,0,N,0,1,480,195,64,9780,0,34,30,38,1,1,S,4,0.2,10.5,0.2,11,4,2,21,34,111,192,20,9.6,7,12,5,5,7,29,8,129,9.6,7
53,0,113,79,0,S,3,21,U,M,,0,N,0,4,643,263,83,12506,0,32,31,41,0,0,A,2,0.333,16.5,0.375,15.33,4,3,18,24,55,189,17,11.12,17,20,3,20,4,7,18,113,11.12,9
54,0,53,47,0,U,2,4,U,M,1,1,B,7,,459,168,33,10061,0,19,24,37,0,0,A,1,0,0,0,0,0,0,,14,65,125,12,10.42,13,18,5,15,5,32,6,53,10.42,2
55,1,29,,0,?,?,,U,U,3,0,M,0,,850,309,77,14718,0,0,0,0,1,0,A,4,0.313,10,0.5,10,5,4,17,12,31,55,6,9.17,10,15,5,15,6,15,17,33,9.17,4
56,1,137,,0,S,2,20,U,F,,0,N,0,8,307,159,78,7110,0,29,20,33,1,1,S,2,0.095,20,0.1,20,2,1,24,36,84,306,29,10.55,22,25,3,20,6,12,24,128,10.55,16
57,0,17,37,0,S,1,11,U,M,5,0,B,4,,2540,481,63,23144,1,18,43,22,0,0,F,1,0.143,15,0.333,15,1,1,20,6,15,15,1,15,0,15,15,15,4,10,20,20,15,1
58,1,137,44,0,U,3,9,H,F,2,1,B,2,,687,230,29,11087,0,30,26,21,1,1,S,3,0.278,5.4,0.714,5.4,5,5,17,28,72,87.25,19,4.59,5.75,7,1.25,7,5,12,17,127,4.59,16
59,0,29,78,0,R,3,53,U,F,2,1,B,0,,358,175,71,9130,1,30,19,36,0,0,A,2,0.214,16,0.286,14,3,2,18,11,24,64,4,16,10,20,10,20,6,12,18,29,16,2
60,1,113,57,0,S,2,17,H,M,5,1,B,5,7,824,348,43,14663,18,30,51,11,0,0,A,1,0.053,15,0,0,1,0,25,23,54,55,6,9.17,12,15,3,15,4,9,25,107,9.17,2
61,0,41,56,0,C,1,22,U,F,2,1,M,1,,1827,254,47,15064,0,12,19,81,0,0,A,2,0.15,15,0.222,15,3,2,20,13,30,45,3,15,10,20,10,20,6,12,20,36,15,2
62,0,65,62,0,U,4,10,H,F,2,0,P,0,2,625,407,80,13078,2,25,33,40,1,1,S,4,0.333,13.17,0.625,13.2,6,5,19,18,50,102,9,11.33,11,16,5,14,6,14,19,63,11.33,7
63,0,53,,0,C,2,27,H,F,7,0,P,0,7,1563,525,63,18171,8,22,60,16,0,0,A,1,0.105,18,0.222,18,2,2,21,13,32,59,3,19.67,8,23,15,21,4,7,21,47,19.67,3
64,0,113,73,1,C,2,29,U,F,2,1,B,6,8,707,304,78,14109,0,63,2,87,1,0,A,1,0.056,15,0.125,15,1,1,21,30,76,99,11,9,10,15,5,10,6,23,8,110,9,8
65,0,113,,1,R,3,52,U,F,5,1,B,8,,675,178,60,8055,0,13,53,15,1,3,A,1,0.133,15,0.143,10,2,1,26,24,59,78,10,7.8,17,20,3,20,4,11,26,102,7.8,7
66,1,41,59,0,S,2,16,U,F,,0,N,0,,786,352,76,16104,0,32,47,41,1,1,S,4,0.5,3.44,0.6,3.67,9,6,16,14,31,31,9,3.44,2,5,3,3,6,13,16,35,3.44,6
67,0,101,,0,U,4,10,U,F,,0,N,0,,5000,405,28,33566,0,0,0,0,1,3,A,1,0.182,12.75,0.091,13,4,1,19,29,71,159,20,7.95,11,14,3,14,6,13,19,97,7.95,10
68,0,65,46,0,S,1,13,U,M,,0,N,0,8,1720,504,74,28637,0,19,16,20,0,0,A,1,0.045,25,0.091,25,1,1,17,21,54,125,5,25,0,25,25,25,6,13,17,65,25,3
69,1,125,65,0,C,1,23,H,F,4,1,P,0,,549,212,88,9149,0,36,11,60,1,0,A,4,0.222,5.25,0.286,5.5,4,2,15,25,57,64,13,4.92,3,6,3,5,5,11,15,123,4.92,7
70,1,65,41,0,R,1,42,H,M,4,1,P,0,4,1035,273,78,14432,0,44,34,48,1,0,A,3,0.2,13.75,0.333,15,4,3,16,17,46,80,7,11.43,10,15,5,15,6,15,16,57,11.43,4
71,1,113,85,0,T,2,38,H,F,2,0,P,0,0,608,165,40,10193,0,17,42,17,1,12,A,1,0.05,20,0.111,20,1,1,15,27,68,150,16,9.38,15,20,5,20,5,12,15,102,9.38,6
72,0,17,51,0,R,3,51,H,F,2,0,P,0,,310,158,78,7184,0,25,34,38,0,0,F,1,0.143,20,0.333,20,1,1,21,6,16,20,1,20,0,20,20,20,4,11,21,21,20,1
73,0,17,62,0,T,1,34,H,M,5,1,B,26,,1604,487,55,35154,0,33,5,46,0,0,F,1,0.2,15,0.5,15,1,1,17,5,13,15,1,15,0,15,15,15,4,10,17,17,15,1
74,0,29,,0,R,3,50,U,F,,0,N,0,,313,132,81,6077,0,16,23,45,0,0,A,3,0.222,31.75,0.222,32.5,4,2,21,13,32,143,6,23.83,34,40,6,6,6,14,19,33,23.83,2
75,0,17,,0,S,2,16,H,M,5,0,P,0,,642,307,76,13853,0,36,13,52,0,0,N,3,0.333,7.5,0,0,2,0,15,6,17,21,3,7,5,10,5,10,5,12,15,20,7,0
76,0,101,38,0,S,2,18,H,F,4,0,P,0,6,481,357,81,13786,0,50,28,51,0,0,A,2,0.095,13.5,0.2,13.5,2,2,20,26,62,126,12,10.5,10,15,5,13,6,13,20,90,10.5,5
77,0,17,80,0,T,2,36,H,F,2,1,B,14,,345,201,47,11002,0,28,15,43,0,0,F,1,0.143,15,0.333,15,1,1,21,5,15,15,1,15,0,15,15,15,3,10,21,21,15,1
78,1,137,58,1,C,1,24,H,M,5,1,B,1,7,1555,522,91,17990,4,33,58,12,1,1,S,1,0.19,8.75,0.2,10,4,2,19,33,102,310,32,9.69,20,22,2,10,6,22,19,129,9.69,13
79,0,137,77,0,T,1,34,H,F,4,1,B,0,9,2388,698,89,48169,0,41,18,52,1,0,A,1,0.053,16,0,0,1,0,24,27,60,100,8,12.5,11,16,5,16,4,9,24,95,12.5,5
80,0,29,,0,T,2,40,U,M,4,1,B,3,,679,297,71,16608,2,41,24,34,0,0,A,3,0.154,7,0.167,9,2,1,24,10,23,35,4,8.75,10,15,5,15,6,12,17,28,8.75,1
81,0,113,67,0,T,2,36,U,M,1,1,B,4,3,675,256,76,12778,0,27,28,35,1,0,A,2,0.182,20,0.273,20,4,3,20,28,64,155,9,17.22,5,20,15,20,6,13,20,105,17.22,7
82,0,17,23,0,T,2,40,H,M,5,0,B,4,,435,375,77,13799,0,36,41,42,0,0,F,1,0.143,20,0.333,20,1,1,21,6,15,20,1,20,0,20,20,20,4,10,21,21,20,1
83,0,41,79,0,R,2,49,U,M,1,0,P,0,,538,186,68,9457,0,36,29,36,0,0,A,1,0.167,15,0.167,15,2,1,26,7,16,30,2,15,0,15,15,15,2,4,26,35,15,1
84,0,29,57,0,S,1,13,H,F,7,1,B,0,,1793,509,96,24160,0,28,6,60,0,0,N,2,0.154,50,0.333,50,2,2,16,10,24,100,2,50,0,50,50,50,6,14,16,25,50,2
85,0,17,57,0,T,3,41,H,F,5,0,P,0,,482,236,73,10171,0,24,23,24,0,0,F,1,0.167,15,0,0,1,0,19,5,15,15,1,15,0,15,15,15,4,10,19,19,15,0
86,0,89,83,0,T,1,35,H,F,4,1,B,12,5,909,552,92,18516,0,21,19,55,0,0,A,1,0.056,27,0,0,1,0,18,24,60,112,5,22.4,17,27,10,27,6,13,18,89,22.4,3
87,1,29,51,0,T,2,36,H,M,4,0,B,0,,504,191,76,9564,0,25,35,40,0,0,A,4,0.294,4.8,0.375,4.33,5,3,18,12,29,30,6,5,3,6,3,5,6,13,18,33,5,3
88,0,137,64,1,U,1,2,H,F,3,0,M,27,7,2664,468,83,14934,0,29,34,30,1,14,A,1,0.105,12,0,0,2,0,19,31,93,226,21,10.76,9,15,6,10,6,15,19,129,10.76,10
89,0,53,75,0,S,2,18,U,F,2,0,P,0,3,468,320,85,10919,0,26,71,18,1,14,A,1,0.1,62.5,0.091,25,2,1,19,19,64,165,5,33,95,100,5,100,6,30,19,53,33,3
90,1,113,79,0,?,?,,U,F,3,1,B,2,,695,283,82,13044,0,17,6,57,1,0,A,2,0.25,9.25,0.375,10,4,3,15,23,55,95,16,5.94,7,10,3,10,3,6,15,105,5.94,9
91,0,41,,0,C,2,27,U,F,,0,N,0,7,476,204,79,9524,0,32,46,24,1,1,S,4,0.684,9.77,0.636,9.43,13,7,15,17,40,164,19,8.63,8,11,3,10,6,13,15,45,8.63,9
92,0,17,,0,C,3,30,U,F,,1,N,0,,676,311,63,14941,2,25,32,24,0,0,F,1,0.143,15,0.333,15,1,1,21,5,13,15,1,15,0,15,15,15,3,8,21,21,15,1
93,0,137,70,0,T,3,41,U,F,,0,N,0,,0,0,0,0,0,0,0,0,1,4,A,1,0.143,10,0,0,3,0,18,32,76,206,21,9.81,10,13,3,10,5,12,18,126,9.81,9
94,0,101,54,0,S,2,16,H,M,5,1,B,2,7,673,399,98,14497,0,43,28,43,0,0,A,1,0.048,20,0,0,1,0,30,25,65,98,7,14,17,20,3,20,6,14,17,93,14,3
95,0,65,51,0,S,1,14,H,F,7,0,P,0,9,1765,542,94,19984,0,30,34,28,0,0,A,1,0.091,15,0,0,1,0,18,16,45,47,4,11.75,5,15,10,15,4,12,18,57,11.75,2
96,0,89,,0,C,3,30,U,M,1,1,B,9,1,413,168,40,6785,0,15,14,61,1,1,S,2,0.25,14.4,0.364,14.5,5,4,25,26,63,267,26,10.27,11,15,4,14,6,12,25,88,10.27,13
97,0,17,,0,C,3,32,U,F,,0,N,0,,396,184,47,7914,1,26,25,31,0,0,F,1,0.2,25,0,0,1,0,16,6,13,25,1,25,0,25,25,25,5,11,16,16,25,0
98,0,41,65,0,R,1,42,H,F,5,0,P,0,,530,323,77,14666,0,30,16,48,0,0,A,1,0.136,19,0.182,20,3,2,19,16,39,72,4,18,6,21,15,19,6,13,19,41,18,3
99,0,17,36,0,T,2,40,H,M,5,1,B,1,,854,307,68,15595,0,38,24,19,0,0,F,1,0.2,20,0.5,20,1,1,16,6,14,20,1,20,0,20,20,20,5,12,16,16,20,1
100,0,77,,0,R,2,46,U,F,,0,N,0,,1146,263,79,14235,0,31,24,43,0,0,A,2,0.182,16,0,0,2,0,18,15,42,58,5,11.6,12,17,5,17,6,12,18,75,11.6,2
101,0,89,,1,R,3,51,H,F,5,0,P,0,2,317,150,81,7701,0,25,31,41,1,1,S,3,0.438,29.29,0.4,30,7,4,18,27,85,583,29,20.1,35,40,5,10,7,28,13,88,20.1,10
102,0,17,,0,C,2,25,U,F,,0,N,0,,656,243,53,12176,0,31,41,38,0,0,F,1,0.2,50,0.5,50,1,1,17,6,34,100,2,50,0,50,50,50,5,30,17,17,50,1
103,1,89,50,0,T,1,35,H,M,2,1,B,2,9,896,441,92,17474,1,36,40,22,0,0,A,1,0.053,25,0,0,1,0,26,18,48,49,5,9.8,22,25,3,25,5,10,26,81,9.8,2
104,1,53,,0,T,2,40,U,F,,1,N,0,7,970,314,85,15281,0,29,31,35,1,1,S,2,0.19,15.25,0.273,15.33,4,3,25,19,45,152,12,12.67,11,16,5,16,6,13,25,52,12.67,6
105,0,113,,0,C,2,25,U,M,2,1,M,0,7,689,209,29,14011,0,20,10,47,1,0,A,2,0.1,15,0,0,2,0,18,27,64,111,11,10.09,11,16,5,16,6,13,18,100,10.09,5
106,1,89,71,1,S,2,17,H,M,2,1,B,1,4,128,309,66,13164,0,19,38,37,1,1,S,2,0.15,11,0.222,11,3,2,19,23,80,112,13,8.62,7,12,5,11,6,21,19,88,8.62,9
107,0,137,84,1,C,3,32,H,F,1,1,B,3,2,280,170,53,5937,0,27,53,0,1,3,A,1,0.15,11.67,0.3,11.67,3,3,23,32,111,187,16,11.69,12,17,5,10,6,30,15,96,11.69,8
108,0,137,83,0,U,1,1,U,F,1,1,B,0,8,914,231,27,20801,0,9,0,0,1,6,A,1,0.273,12,0.429,12,3,3,24,27,60,308,37,8.32,13,15,2,10,3,5,24,123,8.32,19
109,0,113,80,0,C,3,30,H,F,1,1,B,1,1,399,193,63,10807,0,19,63,37,0,0,A,1,0.083,25,0,0,1,0,17,20,45,74,8,9.25,22,25,3,25,6,14,17,105,9.25,5
110,0,113,75,0,S,2,17,U,F,1,1,B,5,,886,306,37,15930,0,27,38,20,1,0,A,1,0.105,12.5,0.25,12.5,2,2,18,27,69,167,18,9.28,10,15,5,10,5,12,18,113,9.28,11
111,0,101,79,0,R,2,45,U,M,2,1,B,26,,370,230,76,10709,0,34,25,53,1,0,A,4,0.417,10.4,0.333,11,5,2,18,21,55,99,11,9,7,12,5,10,6,15,18,101,9,6
112,0,29,42,0,S,1,13,H,M,7,1,B,6,,938,462,91,20976,3,48,12,42,0,0,A,1,0.133,27.5,0.143,25,2,1,26,10,24,55,2,27.5,5,30,25,30,5,11,26,31,27.5,1
113,0,17,55,0,S,1,14,U,M,6,1,M,1,,1612,807,97,26781,0,28,52,9,0,0,F,1,0.143,20,0,0,1,0,20,6,16,20,1,20,0,20,20,20,4,10,20,20,20,0
114,1,137,87,1,C,1,24,H,M,5,0,B,19,9,589,270,62,10889,2,44,25,45,1,1,S,2,0.15,9.67,0.273,9.67,3,3,22,34,87,292,34,8.59,12,15,3,5,7,20,10,123,8.59,17
115,0,77,56,0,C,2,28,U,F,,1,N,0,0,1413,352,86,20921,0,57,10,75,0,0,A,2,0.136,16.67,0.182,15,3,2,19,22,56,107,9,11.89,20,25,5,20,6,14,19,75,11.89,3
116,0,29,58,0,T,2,40,H,M,5,1,B,2,,468,231,87,9263,3,38,34,27,0,0,A,4,0.417,12.6,0.25,15,5,1,16,8,25,63,5,12.6,17,20,3,15,6,15,16,32,12.6,1
117,0,137,57,0,C,1,24,U,F,3,0,M,22,6,638,349,76,12978,0,29,37,54,1,4,A,1,0.2,12.5,0.222,12.5,4,2,25,31,71,182,20,9.1,12,15,3,10,5,11,25,126,9.1,10
118,1,41,36,0,S,2,18,U,F,,0,N,0,7,742,396,85,15356,0,35,41,21,1,0,A,4,0.333,15.83,0.333,16.67,6,3,17,15,37,100,7,14.29,15,20,5,15,6,13,17,44,14.29,3
