MONTHS_SINCE_ORIGIN,DONOR_AGE,PCT_OWNER_OCCUPIED,PCT_MALE_MILITARY,PCT_WWII_VETERANS,RECENT_STAR_STATUS,FREQUENCY_STATUS_97NK,RECENT_CARD_RESPONSE_COUNT,LIFETIME_AVG_GIFT_AMT,CARD_PROM_12,FILE_CARD_GIFT,PER_CAPTITA_INCOME,MONTHS_BTW_GIFT,IN_HOUSE_0,IN_HOUSE_1,URBANICITY_?,URBANICITY_C,URBANICITY_R,URBANICITY_S,URBANICITY_T,URBANICITY_U,HOME_OWNER_H,HOME_OWNER_U,DONOR_GENDER_F,DONOR_GENDER_M,DONOR_GENDER_U,PEP_STAR_0,PEP_STAR_1,RECENCY_STATUS_96NK_A,RECENCY_STATUS_96NK_E,RECENCY_STATUS_96NK_F,RECENCY_STATUS_96NK_L,RECENCY_STATUS_96NK_N,RECENCY_STATUS_96NK_S,SES_1.0,SES_2.0,SES_3.0,SES_4.0
77,37.0,84,0,36,0,1,1,13.89,6,5,11930.0,54,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
65,0.0,75,0,54,0,3,2,11.88,6,3,10045.0,42,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
137,48.0,74,0,19,0,1,0,9.0,4,9,15219.0,102,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
137,55.0,57,0,29,0,1,1,11.56,5,4,12720.0,98,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
101,73.0,78,0,41,1,4,8,4.36,6,14,11624.0,74,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
125,50.0,74,0,17,1,3,4,8.47,6,13,10182.0,103,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
29,43.0,83,0,27,0,2,2,15.0,5,2,11739.0,5,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
41,0.0,72,0,17,0,2,2,15.25,6,2,16242.0,23,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
125,0.0,40,0,40,0,4,4,5.14,7,7,17069.0,103,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
77,0.0,96,0,39,0,1,1,11.63,3,4,15397.0,52,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
65,51.0,50,0,60,0,1,1,23.33,6,3,20217.0,41,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
137,84.0,60,0,33,1,3,2,8.33,5,8,9892.0,96,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
29,57.0,92,0,30,0,2,2,16.67,6,2,14666.0,12,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
125,80.0,72,0,22,3,1,0,6.93,2,7,15852.0,98,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
125,83.0,80,0,25,0,2,1,33.38,6,2,11614.0,99,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
41,71.0,59,0,64,0,2,0,10.0,6,0,5793.0,20,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
65,77.0,57,0,36,0,1,1,12.0,5,2,10082.0,39,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
65,57.0,63,2,25,0,3,3,8.5,6,4,13019.0,33,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
41,45.0,62,0,35,0,1,0,17.5,5,0,13945.0,14,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
29,67.0,11,0,40,0,1,1,20.0,3,1,35427.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
29,0.0,86,1,11,0,3,3,11.0,6,3,17604.0,13,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
65,71.0,74,1,32,0,1,2,10.33,6,5,11292.0,40,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
29,71.0,70,1,48,0,3,2,6.67,4,2,25802.0,5,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
89,0.0,81,0,41,1,3,4,20.1,7,10,7701.0,75,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
89,70.0,30,0,28,0,4,1,9.5,6,5,10825.0,73,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
89,68.0,74,0,74,0,3,2,9.55,6,4,12619.0,63,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
77,0.0,83,0,13,0,4,6,9.24,11,12,14984.0,71,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
137,86.0,36,0,30,1,3,2,6.17,7,16,21881.0,113,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
29,0.0,66,3,33,0,2,3,11.67,2,3,17034.0,12,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
41,0.0,74,0,54,0,2,2,9.11,6,3,7350.0,20,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
125,71.0,22,0,37,12,3,1,6.46,6,10,21600.0,108,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
29,77.0,87,0,42,0,4,5,6.25,6,5,16607.0,12,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
41,62.0,84,0,44,0,1,1,12.5,4,1,13073.0,6,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
41,67.0,97,2,15,0,1,1,11.67,5,1,23830.0,17,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
137,42.0,80,1,35,1,3,7,3.38,5,13,20242.0,109,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
113,82.0,48,0,43,0,1,1,37.5,6,3,24703.0,87,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
137,86.0,70,0,33,1,2,0,14.33,5,8,10221.0,112,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
137,59.0,81,0,33,0,1,2,7.25,5,10,8502.0,102,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
113,0.0,68,1,50,0,1,1,9.44,6,4,19718.0,88,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
53,65.0,72,0,27,0,2,1,22.5,6,3,48391.0,36,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
17,54.0,45,0,22,0,1,0,20.0,3,0,8904.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
17,0.0,37,2,33,0,1,0,25.0,5,0,7342.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
137,71.0,81,0,39,1,4,2,7.02,5,19,11316.0,110,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
113,34.0,68,0,30,0,4,3,4.62,6,7,16451.0,83,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
29,73.0,41,0,30,0,3,1,12.0,6,1,19917.0,10,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
113,0.0,74,0,15,0,4,1,12.92,6,4,14917.0,90,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
41,0.0,83,1,41,2,4,5,4.4,6,7,9412.0,29,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
41,65.0,72,1,43,0,1,0,15.0,4,0,22875.0,37,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
41,67.0,72,0,0,1,2,0,15.5,6,0,8321.0,24,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
17,67.0,3,0,32,0,2,2,25.0,6,2,22155.0,4,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
101,56.0,66,0,6,0,1,1,15.36,5,6,38075.0,67,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
89,57.0,79,0,20,0,1,1,11.58,4,6,11157.0,70,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
89,38.0,72,0,39,5,1,0,21.55,5,5,8768.0,55,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
113,0.0,74,3,27,0,1,1,7.82,4,8,15049.0,79,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
53,41.0,77,0,58,0,1,0,7.83,6,3,12185.0,28,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
89,78.0,40,0,38,10,1,2,17.11,6,6,6135.0,64,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
77,0.0,42,0,35,0,1,1,10.78,6,2,6095.0,49,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
77,72.0,72,0,32,3,1,3,28.0,7,10,12037.0,70,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
77,57.0,76,0,15,1,2,3,6.62,6,8,13093.0,45,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
29,55.0,87,0,37,0,2,2,11.0,6,2,14846.0,12,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
137,49.0,86,0,59,0,1,0,5.88,2,10,23120.0,115,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
125,35.0,82,1,32,1,3,6,7.35,6,11,14255.0,101,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
89,85.0,95,0,39,6,1,2,22.0,4,7,24067.0,62,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
65,53.0,75,0,25,0,2,1,12.83,6,3,22022.0,38,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
29,79.0,57,0,39,0,2,2,9.0,6,2,16969.0,4,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
17,0.0,71,0,38,0,1,0,50.0,5,0,8880.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
29,0.0,45,25,4,0,1,2,12.5,4,2,12306.0,6,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
137,79.0,57,0,36,1,3,4,4.58,5,16,13805.0,110,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
113,59.0,74,0,26,1,2,2,18.47,6,12,7036.0,87,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
137,67.0,2,0,25,0,2,2,7.0,6,6,13278.0,113,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
125,67.0,78,0,61,3,1,2,6.59,5,12,8240.0,117,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
17,0.0,71,1,18,0,2,0,12.5,4,0,20809.0,5,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
113,80.0,69,0,30,0,1,0,11.0,4,5,16065.0,87,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
137,57.0,73,0,35,1,3,4,3.95,5,19,31417.0,112,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
17,0.0,46,0,53,0,1,0,20.0,5,0,6389.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
77,45.0,2,0,47,0,3,2,11.83,6,4,6937.0,57,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
29,87.0,61,0,40,0,2,3,13.67,6,3,16446.0,8,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
113,0.0,88,0,0,0,4,5,4.89,6,13,19716.0,89,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
113,48.0,68,0,36,1,2,1,7.0,5,8,9558.0,85,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
17,67.0,89,0,52,0,1,1,15.0,3,1,17513.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
113,81.0,65,0,58,21,1,1,85.0,6,7,17986.0,96,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
17,0.0,42,0,47,0,3,1,7.33,5,1,14360.0,4,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
17,47.0,68,0,18,0,1,1,25.0,5,1,15567.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
41,47.0,98,0,48,0,1,2,16.67,6,2,40913.0,23,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
41,71.0,84,0,71,0,3,2,7.0,6,3,16873.0,24,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
137,0.0,44,0,55,5,1,2,8.95,6,14,26456.0,108,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
137,69.0,78,0,38,1,3,4,5.92,6,15,11044.0,112,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
41,44.0,88,0,51,0,2,2,12.0,6,3,19046.0,27,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
29,34.0,0,38,2,0,1,0,13.0,4,0,13647.0,9,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
17,71.0,58,0,31,0,1,1,12.5,5,1,8501.0,16,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
137,69.0,38,0,28,0,1,0,12.0,6,9,9830.0,103,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
41,0.0,97,0,38,0,1,2,14.0,6,3,19693.0,25,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
53,45.0,76,1,34,0,4,1,17.89,6,4,10776.0,35,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
137,69.0,88,0,28,0,1,0,17.91,6,7,28120.0,110,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
137,75.0,0,1,33,1,3,4,4.6,5,14,9043.546583850932,100,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
17,47.0,88,0,19,0,1,0,20.0,3,0,26538.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
101,71.0,72,0,13,1,4,5,12.92,11,15,9154.0,97,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
101,43.0,86,0,49,0,2,3,9.4,6,7,8641.0,68,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
89,55.0,91,3,37,0,1,1,16.17,6,3,24516.0,62,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
89,0.0,58,0,18,0,4,4,4.36,4,6,5559.0,67,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
77,30.0,97,0,32,0,2,2,7.36,6,4,25024.0,58,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
89,62.0,86,0,14,1,2,1,15.0,6,5,20570.0,74,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
29,38.0,33,0,9,0,1,1,15.0,3,1,5004.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
65,0.0,72,1,19,0,3,2,10.13,6,4,11680.0,43,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
89,78.0,10,0,0,0,1,3,16.29,6,5,22798.0,59,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
137,72.0,76,1,35,4,1,3,8.79,6,15,12256.0,111,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
53,0.0,87,0,35,0,1,0,27.5,5,1,18353.0,26,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
17,82.0,81,1,22,0,2,0,12.5,6,0,8943.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
113,0.0,80,0,20,5,1,2,14.56,6,12,16386.0,87,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
89,53.0,94,0,48,0,1,1,17.43,6,4,17617.0,61,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
113,0.0,46,0,0,0,1,2,13.13,6,6,7578.0,83,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
29,0.0,3,0,60,0,1,2,13.33,2,2,45329.0,8,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
53,55.0,48,1,24,0,1,0,10.83,6,3,14993.0,33,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
77,60.0,85,0,49,0,1,0,11.75,4,2,9275.0,52,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
89,45.0,95,0,14,0,3,3,20.69,6,7,31788.0,65,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
77,74.0,54,0,50,0,1,0,12.75,4,1,11937.0,52,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
29,72.0,98,0,40,0,3,2,26.67,6,2,62334.0,6,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
41,48.0,94,0,8,0,1,0,11.67,4,0,12166.0,19,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
113,71.0,53,0,53,0,3,2,9.38,6,6,22396.0,91,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
125,78.0,51,0,35,1,3,2,2.03,5,18,9357.0,110,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
77,0.0,77,0,25,1,2,1,9.3,6,5,9191.0,60,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
101,68.0,64,1,43,0,1,0,15.0,6,2,21787.0,80,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
17,39.0,81,0,38,0,1,0,20.0,4,0,16660.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
77,72.0,25,0,70,0,1,0,20.67,5,2,3975.0,41,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
29,0.0,70,0,32,0,1,1,12.5,4,1,11711.0,12,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
17,41.0,97,0,67,0,1,1,15.0,3,1,30344.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
137,84.0,53,0,78,1,3,3,4.72,6,13,17585.0,110,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
41,57.0,76,0,36,0,1,2,18.33,6,3,13579.0,20,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
113,45.0,72,0,33,0,2,0,11.0,6,4,18651.0,87,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
41,57.0,9,3,0,1,4,7,5.47,6,8,11052.0,26,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
137,82.0,48,1,49,1,2,1,6.13,5,12,23380.0,112,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
125,78.0,86,0,11,3,1,0,8.03,6,16,19136.0,107,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
17,77.0,70,0,40,0,1,1,20.0,4,1,12849.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
125,0.0,82,0,62,1,2,2,7.78,6,10,12888.0,108,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
113,71.0,97,0,43,0,1,0,16.25,6,2,29565.0,86,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
137,41.0,74,0,38,1,3,1,11.71,6,15,16433.0,113,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
137,17.0,77,0,37,1,3,3,10.16,6,16,14351.0,114,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
29,49.0,68,0,20,0,1,0,17.5,4,0,10385.0,6,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
17,52.0,7,0,21,0,2,0,15.0,6,0,20695.0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
65,49.0,84,0,10,4,1,2,15.43,6,5,13311.0,36,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
77,43.0,92,0,18,0,2,3,8.93,4,5,21179.0,52,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
113,27.0,37,0,29,3,2,1,19.0,6,6,12408.0,98,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
17,73.0,63,0,50,0,1,0,20.0,5,0,20124.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
89,73.0,75,0,24,1,3,2,6.42,3,8,12577.0,72,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
89,53.0,79,0,23,13,1,2,12.1,5,7,10866.0,73,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
113,82.0,70,0,78,1,3,5,7.43,6,13,22670.0,89,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
