MONTHS_SINCE_ORIGIN,DONOR_AGE,PCT_OWNER_OCCUPIED,PCT_WWII_VETERANS,FREQUENCY_STATUS_97NK,RECENT_CARD_RESPONSE_COUNT,LIFETIME_AVG_GIFT_AMT,CARD_PROM_12,FILE_CARD_GIFT,PER_CAPTITA_INCOME,MONTHS_BTW_GIFT,IN_HOUSE_0,IN_HOUSE_1,URBANICITY_?,URBANICITY_C,URBANICITY_R,URBANICITY_S,URBANICITY_T,URBANICITY_U,HOME_OWNER_H,HOME_OWNER_U,DONOR_GENDER_F,DONOR_GENDER_M,DONOR_GENDER_U,PEP_STAR_0,PEP_STAR_1,SES_1.0,SES_2.0,SES_3.0,SES_4.0
137,44.0,96,22,1,2,12.62,5,17,33463.0,113,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
29,55.0,83,40,1,1,15.0,4,1,9013.0,14,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
53,76.0,80,19,4,3,7.94,9,5,12061.0,37,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
65,46.0,50,38,2,1,12.71,6,4,31308.0,37,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
125,0.0,35,32,3,1,6.13,4,3,6204.0,79,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
77,61.0,80,55,3,3,7.69,6,10,26265.0,48,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
29,61.0,74,29,3,3,8.0,6,3,9441.0,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
29,0.0,94,39,3,2,10.67,6,2,34616.0,6,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
137,0.0,85,15,1,1,14.1,6,7,16687.0,97,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
17,75.0,68,37,1,1,15.0,4,1,13936.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
101,73.0,81,49,4,5,5.71,6,8,16277.0,88,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
65,73.0,44,44,3,4,7.92,6,7,14868.0,48,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
77,68.0,34,41,1,1,9.08,5,5,8588.0,48,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
113,0.0,87,25,1,1,14.14,5,5,13897.0,94,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
101,57.0,85,36,1,0,10.29,6,3,13770.0,65,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
41,43.0,12,13,4,4,5.18,6,5,7985.0,23,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
41,0.0,46,59,2,1,9.75,6,2,9101.0,15,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
137,0.0,57,28,2,0,8.77,6,15,5728.0,111,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
41,0.0,86,19,2,0,12.25,5,0,10541.0,25,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
53,81.0,82,48,2,3,11.86,6,4,13815.0,30,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
41,0.0,73,19,4,4,11.82,6,5,15468.0,22,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
77,55.0,90,42,1,0,11.0,5,3,25787.0,42,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
29,71.0,62,33,1,1,15.0,4,1,12313.0,6,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
137,0.0,73,29,3,4,7.75,3,20,7403.0,111,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
89,84.0,56,99,3,4,11.42,6,8,16700.0,60,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
137,57.0,90,55,2,1,6.92,6,9,25555.0,103,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
137,42.0,51,10,1,1,10.71,5,3,14797.0,104,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
41,64.0,95,31,1,2,16.25,6,3,19757.0,18,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
113,60.0,41,10,2,2,10.5,5,6,15648.0,94,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
137,51.0,82,28,1,1,8.38,4,8,13096.0,101,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
101,62.0,19,17,2,1,6.75,5,7,9837.0,77,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
65,33.0,78,23,1,1,12.82,6,6,19709.0,32,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
41,67.0,60,47,3,2,8.0,6,3,26668.0,24,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
77,85.0,32,36,2,1,7.0,6,6,18433.0,59,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
77,27.0,87,6,1,2,6.14,6,3,9453.0,51,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
29,65.0,93,5,2,2,15.0,6,2,10191.0,4,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
65,0.0,11,22,4,4,8.93,6,8,10370.0,39,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
113,48.0,90,31,1,2,14.33,6,5,15192.0,87,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
29,0.0,85,49,1,0,15.0,4,0,18329.0,13,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
41,35.0,42,53,3,2,7.8,6,3,12353.0,24,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
29,19.0,24,42,1,1,20.0,3,1,22300.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
113,62.0,96,19,2,1,6.43,6,9,20471.0,87,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
17,67.0,76,43,2,1,25.0,5,1,15190.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
77,45.0,95,20,4,7,5.12,6,13,29290.0,61,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
41,0.0,64,13,1,1,15.0,5,3,13974.0,17,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
77,0.0,0,0,4,1,21.72,6,6,9871.0,60,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
137,69.0,67,27,2,1,11.96,6,14,8057.0,108,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
53,0.0,63,45,4,3,7.91,6,3,8297.0,30,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
89,65.0,48,35,1,1,14.4,4,4,10888.0,56,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
113,63.0,65,27,1,2,39.44,6,7,18236.0,86,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
113,62.0,44,18,4,3,8.54,6,9,22216.0,96,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
89,80.0,47,67,4,5,14.14,11,9,17969.0,71,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
77,0.0,86,13,1,0,51.43,6,4,23146.0,57,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
113,83.0,87,49,1,0,13.33,8,5,17154.0,95,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
137,67.0,99,22,1,3,21.0,5,9,21792.0,101,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
113,62.0,50,4,1,1,14.5,6,4,13148.0,80,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
113,71.0,95,40,1,2,6.56,6,12,13147.0,87,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
29,57.0,52,57,1,1,20.0,3,1,21924.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
29,49.0,96,63,1,1,20.0,3,1,15572.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
101,55.0,92,23,1,1,10.75,6,8,26931.0,69,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
89,79.0,33,41,4,2,4.5,6,5,12596.0,65,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
77,74.0,65,23,1,1,12.0,6,4,13849.0,57,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
137,69.0,0,30,2,1,14.92,6,5,12959.5,111,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
29,37.0,67,38,1,1,20.0,3,1,15972.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
65,51.0,12,22,1,1,17.75,6,3,14574.0,36,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
53,0.0,0,1,4,3,6.0,7,6,12959.5,38,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
29,41.0,77,28,2,0,13.33,6,0,11100.0,9,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
29,31.0,74,14,2,0,12.33,5,0,19928.0,12,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
41,50.0,81,39,4,3,9.5,6,4,9104.0,23,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
101,59.0,81,46,1,1,7.17,6,4,10103.0,71,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
125,71.0,31,16,1,0,11.14,4,5,15105.0,91,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
89,68.0,79,79,2,2,11.78,6,4,11699.0,71,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
65,0.0,79,24,2,0,15.0,6,2,10850.0,46,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
65,76.0,79,25,1,1,11.0,5,3,17107.0,36,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
17,71.0,16,0,1,1,25.0,5,1,34426.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
137,0.0,85,38,4,2,12.18,6,8,12847.0,109,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
137,69.0,46,16,1,0,16.25,6,9,11435.0,103,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
137,0.0,81,27,4,7,7.04,6,17,12170.0,112,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
29,60.0,52,23,4,2,7.2,6,2,11919.0,17,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
89,17.0,74,60,1,1,13.67,2,5,20751.0,55,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
17,0.0,84,39,1,1,25.0,5,1,14521.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
41,69.0,80,52,3,1,6.0,4,2,27532.0,22,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
29,0.0,0,0,1,2,12.5,4,2,7718.0,11,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
137,0.0,76,41,1,0,5.81,4,11,12513.0,101,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
53,0.0,78,0,4,4,5.61,1,11,12722.0,34,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
137,79.0,48,23,3,2,9.15,4,11,25404.0,106,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
29,0.0,78,42,1,1,12.5,4,1,13740.0,10,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
65,77.0,61,65,2,2,10.11,6,7,11553.0,41,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
137,0.0,59,25,1,1,6.54,4,11,13749.0,104,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
137,77.0,65,39,4,3,4.27,3,11,11506.0,115,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
77,35.0,82,60,1,0,9.5,4,2,43424.0,50,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
77,39.0,81,39,1,1,11.22,6,5,11098.0,55,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
89,50.0,77,12,1,1,16.82,6,6,26104.0,67,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
77,47.0,61,30,1,3,12.89,12,8,9679.0,63,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
65,43.0,23,28,1,0,10.63,6,4,8727.0,32,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
125,0.0,82,23,3,2,4.74,5,17,9035.0,105,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
17,51.0,87,47,2,1,12.0,4,1,9468.0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
137,63.0,96,41,1,1,7.62,4,13,17954.0,104,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
17,27.0,92,21,1,1,15.0,3,1,17783.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
29,49.0,84,5,1,1,25.0,5,1,12093.0,4,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
65,83.0,68,36,1,0,14.25,6,1,12615.0,46,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
29,65.0,88,30,1,1,10.0,4,1,22241.0,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
89,17.0,90,19,3,4,6.73,6,10,16354.0,71,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
137,73.0,33,36,1,1,7.87,3,7,7209.0,110,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
17,23.0,92,14,1,1,15.0,3,1,19957.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
137,72.0,82,24,1,1,8.11,6,10,15752.0,103,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
17,66.0,61,34,1,0,25.0,4,0,7148.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
125,49.0,10,38,1,1,20.5,4,8,9919.0,105,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
41,73.0,60,30,1,2,17.33,6,2,8973.0,12,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
65,64.0,81,27,1,1,7.8,6,3,11341.0,39,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
29,41.0,67,18,1,0,20.0,3,0,11242.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
89,53.0,85,15,3,1,13.9,6,5,11831.0,69,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
125,49.0,80,12,1,1,5.87,5,8,12611.0,110,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
101,67.0,76,0,4,3,7.55,6,6,10409.0,78,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
